id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
319	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (1st axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
320	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (2nd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
321	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (2nd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
322	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (3rd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
323	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Puncture (3rd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
324	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (1st axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
325	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (1st axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
326	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (2nd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
327	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (2nd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
328	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (3rd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
329	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cords visible (3rd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
330	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (1st axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
331	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (1st axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
332	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (2nd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
333	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (2nd axel nearside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
334	65	yesno	Trailer Wheels and Tyres	Are the wheels and tyres free from defects?	Are the wheels and tyres free from defects?	Cuts to tread (3rd axel offside)	0	0	1	0	1	0	\N	Not roadworthy call tyre company in handbook to rectify	1	1
