id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
87	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelight not working (front nearside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
88	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light cracked (rear nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
89	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light damaged (rear nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
90	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light not working (rear nearside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
91	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light cracked (rear offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
92	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light damaged (rear offside)	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
93	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Rear light not working (rear offside)	0	0	1	0	1	0	\N	Not roadworthy replace bulb	1	1
94	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight cracked (front offside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
95	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight damaged (front offside)	0	0	1	0	1	0	\N	Roadworthy but needs workshop visit	1	1
96	23	yesno	Headlights and Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Headlight not working (front offside)	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
