id	order	type	page_title	app_question	app_question_with_defect	defect	has_not_applicable_option	defect_order	has_image	has_text	is_prohibitional	show_warning	warning_text	safety_notes	for_hgv	for_non-hgv
118	22	yesno	Donkey Engine	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	AdBlue (top up as required)	0	0	0	0	0	0	\N	Re-fill as required	1	1
119	22	yesno	Donkey Engine	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Is the donkey engine engine oil, coolant, Adblue and auto greaser levels sufficient?	Auto greaser (top up as required)	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
120	23	yesno	Plant Equipment	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Suction hose damaged	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
121	23	yesno	Plant Equipment	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Jetting hose damaged	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
122	23	yesno	Plant Equipment	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Brushes not working	0	0	0	0	0	0	\N	Roadworthy but needs workshop visit	1	1
123	23	yesno	Plant Equipment	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Brushes worn	0	0	1	0	0	0	\N	Roadworthy but needs workshop visit	1	1
124	23	yesno	Plant Equipment	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Are the lights, brushes, suction hoses and jetting hoses free from defects?	Work lights not working	0	0	1	0	0	0	\N	Roadworthy but obtain replacement	1	1
125	24	yesno	Spill Kit	Is the spill kit free from defects?	Is the spill kit free from defects?	Missing	1	0	0	0	1	0	\N	Roadworthy but seek replacement kit	1	1
126	24	yesno	Spill Kit	Is the spill kit free from defects?	Is the spill kit free from defects?	Items missing	1	0	0	0	1	0	\N	Roadworthy but seek replacement kit	1	1
127	25	yesno	Hand Cleaning Station	Is the hand cleaning station free from defects?	Is the hand cleaning station free from defects?	Hand cleaner not dispensing	1	0	0	0	1	0	\N	Not roadworthy	1	1
128	25	yesno	Hand Cleaning Station	Is the hand cleaning station free from defects?	Is the hand cleaning station free from defects?	Hand cleaner needs refilling	1	0	0	0	1	0	\N	Roadworthy if replenished	1	1
129	25	yesno	Hand Cleaning Station	Is the hand cleaning station free from defects?	Is the hand cleaning station free from defects?	Hand cleaning station damaged	1	0	1	0	1	0	\N	Not roadworthy	1	1
130	26	yesno	Speed Limiter	Speed Limiter	Speed Limiter	Speed limiter faulty	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit	1	1
131	27	yesno	Speedometer	Speedometer	Speedometer	Speedometer faulty	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
132	28	yesno	Clutch	Clutch	Clutch	Faulty clutch	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit. Confirm with manager	1	1
133	29	yesno	Gearbox	Gearbox	Gearbox	Faulty gearbox	0	0	0	0	1	0	\N	Roadworthy but needs workshop visit. Confirm with manager	1	1
134	30	yesno	Tyre Safety Check	Tyre Safety Check	Tyre Safety Check	Tyre safety check	0	0	0	0	1	0	\N	Contact Fleet and advise that a workshop booking is required	1	1
135	31	yesno	Vehicle for MOT	Vehicle for MOT	Vehicle for MOT	Vehicle for MOT	0	0	0	0	1	0	\N	Advisory defect	1	1
136	32	yesno	Vehicle for Service	Vehicle for Service	Vehicle for Service	Vehicle for service	0	0	0	0	1	0	\N	Advisory defect	1	1
137	33	yesno	Wheel Re-torque Required	Wheel Re-torque Required	Wheel Re-torque Required	Wheel re-torque required	0	0	0	0	1	0	\N	Wheels must be re-torqued to correct Nm, stand for 30 mins and be re-torqued again	1	1
138	34	yesno	Wheel Alignment and Tracking	Wheel Alignment and Tracking	Wheel Alignment and Tracking	Wheel alignment and tracking	0	0	0	0	1	0	\N	Contact Fleet and advise that a workshop booking is required	1	1
139	35	yesno	Trailer Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Foot brake spongey	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
140	35	yesno	Trailer Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Foot brake worn	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
141	35	yesno	Trailer Brakes	Are all brakes free from defects?	Are all brakes free from defects?	Hand brake worn	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
142	36	yesno	Trailer Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Brake light damaged	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
143	36	yesno	Trailer Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Brake light in-op	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
144	36	yesno	Trailer Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reverse light damaged	0	0	1	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
145	36	yesno	Trailer Brake and Reverse Lights, Reflectors and Marker Lights	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Are all the brake and reverse lights, reflectors and marker lights free from defects?	Reverse light in-op	0	0	0	0	1	0	\N	Not roadworthy vehicle must be VOR	1	1
146	37	yesno	Trailer Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelights / reflectors damaged	0	0	1	0	1	0	\N	Roadworthy but obtain replacement	1	1
147	37	yesno	Trailer Sidelights	Are all the headlights and sidelights free from defects?	Are all the headlights and sidelights free from defects?	Sidelights / reflectors in-op	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
148	38	yesno	Trailer Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Beacon bulb blown	0	0	0	0	1	0	\N	Not roadworthy replace bulb	1	1
149	38	yesno	Trailer Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Beacon damaged	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
150	38	yesno	Trailer Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator damaged	0	0	1	0	1	0	\N	Roadworthy if no white light evident through lens	1	1
