40	Hotbox - Daf	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
41	JCB - Loadall  531-70	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
42	JCB - Loadall  535-95	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
43	JCB - Loadall  540-140	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
44	Jetwash Van	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
45	John Deer 5100R	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
46	Merc Sweeper	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
47	Panel Van - Crafter	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
48	Panel Van - Sprinter	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
49	Panel Van - Sprinter Crew	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
50	Panel Van - Transit	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
51	Pick Up 4x4 - Discovery Comm 4	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
52	Pick Up 4x4 - Discovery Comm 5	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
53	Pick Up 4x4 - Hilux	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
54	Pick Up 4x4 - Invincible	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
55	Pick Up 4x4 - L200	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
56	Pick Up 4x4 - Ranger	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
57	Small Van Berlingo	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
58	Small Van Citan	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
59	Small Van Combo	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
60	Small Van Fiesta	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
61	Small Van Merc Vito	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
62	Small Van Partner	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
63	Small Van Proace	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
64	Small Van Proace City	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
65	Small Van Transit Connect	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
66	Small Van VW Caddy	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
67	Small Van VW Transporter	0,1,3,4,5,8,9,10,11,13,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
68	Trailer - Fruehauf	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
69	Trailer - Kelberg	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
70	Trailer - Tankers	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
71	Vac Ex - Mercedess Actros	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
72	JetVac - Fuso 7.5t	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,50,51,52,53
