"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"27/02/2023 11:27",CK70ERZ,53.62,"Not imported vehicle not recognised"
"27/02/2023 10:51",SG2OMD,73.3,"Not imported vehicle not recognised"
"27/02/2023 10:38",SC68FVZ,86.82,"Not imported vehicle not recognised"
"27/02/2023 10:03",BK22WVW,66.32,"Imported successfully"
"27/02/2023 09:51",SM22XAC,59.8,"Imported successfully"
"27/02/2023 09:48",CJ71DHK,70.45,"Imported successfully"
"27/02/2023 09:11",SM22LHW,43.43,"Imported successfully"
"27/02/2023 08:47",BT70VVH,65.44,"Imported successfully"
"27/02/2023 08:26",BT22UEL,75.43,"Not imported vehicle not recognised"
"27/02/2023 08:25",BJ70YKG,58.84,"Imported successfully"
"27/02/2023 08:25",SB69EAF,47.06,"Imported successfully"
"27/02/2023 08:25",CE22FZH,98.22,"Not imported vehicle not recognised"
"27/02/2023 08:23",BT70VVE,79.07,"Imported successfully"
"27/02/2023 08:20",DN21PLZ,51.98,"Imported successfully"
"27/02/2023 08:20",BN70RVX,74.69,"Imported successfully"
"27/02/2023 07:54",SM22XAE,70.79,"Imported successfully"
"27/02/2023 07:35",BG70EBA,66.27,"Imported successfully"
