"Date and Time","Drawing Vehicle","Net Cost","Import Status"
"06/03/2023 16:32",WV70PMY,80.51,"Imported successfully"
"08/03/2023 12:37",WV70PNE,62.55,"Imported successfully"
"06/03/2023 12:01",WV70PNE,66.85,"Imported successfully"
"12/03/2023 14:07",X28KEV,62.5,"Not imported vehicle not recognised"
"09/03/2023 12:49",X28KEV,60.27,"Not imported vehicle not recognised"
"07/03/2023 08:17",X28KEV,70.46,"Not imported vehicle not recognised"
"08/03/2023 16:14",YJ19CPD,62.64,"Imported successfully"
"09/03/2023 08:03",YJ19CPG,64.59,"Imported successfully"
"07/03/2023 15:52",YP20AOO,82.63,"Imported successfully"
"08/03/2023 12:31",YP20AOT,82.73,"Imported successfully"
"09/03/2023 12:15",YP22CLN,70.91,"Imported successfully"
"11/03/2023 09:37",YP22CLZ,86.46,"Imported successfully"
"07/03/2023 13:39",YP22CLZ,81.31,"Imported successfully"
"07/03/2023 17:34",YP22CMF,81.18,"Imported successfully"
"07/03/2023 15:02",YP22CND,78.8,"Not imported vehicle not recognised"
"08/03/2023 08:57",YP22CNK,65.5,"Imported successfully"
"07/03/2023 10:11",YP22CNS,79.45,"Not imported vehicle not recognised"
"08/03/2023 11:42",YP22COH,82.32,"Imported successfully"
"10/03/2023 07:00",YP72FBF,28.01,"Not imported vehicle not recognised"
"06/03/2023 17:46",YP72FBU,39.59,"Not imported vehicle not recognised"
"10/03/2023 11:10",YP72FBV,39.46,"Not imported vehicle not recognised"
"07/03/2023 11:42",YP72GBY,35,"Not imported vehicle not recognised"
"07/03/2023 11:35",YP72GGJ,36.75,"Not imported vehicle not recognised"
"06/03/2023 12:02",YP72GVN,25.46,"Not imported vehicle not recognised"
"06/03/2023 08:40",YP72GVV,36.82,"Not imported vehicle not recognised"
"10/03/2023 07:28",YR70USD,71.6,"Imported successfully"
"09/03/2023 13:21",YR72RYK,39.04,"Not imported vehicle not recognised"
"06/03/2023 10:03",YR72RYK,34.79,"Not imported vehicle not recognised"
"12/03/2023 11:23",YR72RYM,38.11,"Not imported vehicle not recognised"
"10/03/2023 08:46",YT22XJM,56.04,"Imported successfully"
"08/03/2023 14:04",YT22XJN,36.61,"Imported successfully"
"10/03/2023 15:45",YT22XJP,57.03,"Imported successfully"
"07/03/2023 08:43",YT22XJP,56.34,"Imported successfully"
"09/03/2023 16:04",YT22XJU,42.41,"Imported successfully"
"09/03/2023 09:29",YT22XJV,57.8,"Imported successfully"
"08/03/2023 14:18",YT22XLU,58.36,"Imported successfully"
