id	order	page_title	app_question	app_question_with_defect	defect	defect_order	has_image	has_text	is_prohibitional	safety_notes	for_hgv	for_non-hgv
52	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator damaged	0	1	0	1	Roadworthy if no white light evident through lens	1	1
53	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator bulb blown	0	0	0	1	Not roadworthy replace bulb	1	1
54	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Indicator fuse blown	0	0	0	1	Not roadworthy replace fuse	1	1
55	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Strobe cracked	0	1	0	1	Roadworthy if no white light evident through lens	1	1
56	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Strobe damaged	0	1	0	1	Roadworthy if no white light evident through lens	1	1
57	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Strobe bulb blown	0	0	0	1	Not roadworthy replace bulb	1	1
58	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Strobe fuse blown	0	0	0	1	Not roadworthy replace fuse	1	1
59	4	Indicators, Hazards, Auxilliary Lights and Beacons	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Are all indicators, hazards, auxilliary lights and beacons free from defects?	Auxilliary light bulb blown	0	0	0	1	Roadworthy but obtain replacement	1	1
60	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Excessive free play 	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
61	5	Steering	Is the steering free from defects?	Is the steering free from defects?	Steering wheel insecure	0	0	0	1	Not roadworthy vehicle must be VOR	1	1
